"Device: BTH-1208LS"
"Serial Number: 1CA5AEE"
"Channel Count: 2"
"Sample Count: 16674"
"Start Time: 03/08/2018 3:31:58.246 PM"
"Scan Rate: 500"
"Sample","Date/Time","Position (V)","Température (V)"
"221","03/08/2018 3:31:58.688 PM","3.207570500904690","-0.005128145858180"
"222","03/08/2018 3:31:58.690 PM","3.163614455377680","-0.004639745340683"
"223","03/08/2018 3:31:58.692 PM","3.310134607134390","-0.005128145858180"
"224","03/08/2018 3:31:58.694 PM","3.297924594487990","-0.005128145858180"
"225","03/08/2018 3:31:58.696 PM","3.273504569195210","-0.004639745340683"
"226","03/08/2018 3:31:58.698 PM","3.239316533785310","-0.004151344823185"
"227","03/08/2018 3:31:58.700 PM","3.192918485729020","-0.005128145858180"
"228","03/08/2018 3:31:58.702 PM","3.207570500904690","-0.004151344823185"
"229","03/08/2018 3:31:58.704 PM","3.322344619780780","-0.004639745340683"
"230","03/08/2018 3:31:58.706 PM","3.297924594487990","-0.004639745340683"
"231","03/08/2018 3:31:58.708 PM","3.263736559078100","-0.004639745340683"
"232","03/08/2018 3:31:58.710 PM","3.224664518609640","-0.004639745340683"
"233","03/08/2018 3:31:58.712 PM","3.183150475611910","-0.005128145858180"
"234","03/08/2018 3:31:58.714 PM","3.231990526197480","-0.004639745340683"
"235","03/08/2018 3:31:58.716 PM","3.315018612192940","-0.005128145858180"
"236","03/08/2018 3:31:58.718 PM","3.295482591958720","-0.005128145858180"
"237","03/08/2018 3:31:58.720 PM","3.256410551490260","-0.005128145858180"
"238","03/08/2018 3:31:58.722 PM","3.222222516080360","-0.005616546375677"
"239","03/08/2018 3:31:58.724 PM","3.188034480670470","-0.005128145858180"
"240","03/08/2018 3:31:58.726 PM","3.227106521138920","-0.005128145858180"
"241","03/08/2018 3:31:58.728 PM","3.312576609663670","-0.006104946893174"
"242","03/08/2018 3:31:58.730 PM","3.300366597017270","-0.004639745340683"
"243","03/08/2018 3:31:58.732 PM","3.278388574253770","-0.005128145858180"
"244","03/08/2018 3:31:58.734 PM","3.231990526197480","-0.005616546375677"
"245","03/08/2018 3:31:58.736 PM","3.200244493316860","-0.004639745340683"
"246","03/08/2018 3:31:58.738 PM","3.229548523668200","-0.004639745340683"
"247","03/08/2018 3:31:58.740 PM","3.324786622310060","-0.005128145858180"
"248","03/08/2018 3:31:58.742 PM","3.300366597017270","-0.004639745340683"
"249","03/08/2018 3:31:58.744 PM","3.273504569195210","-0.005616546375677"
"250","03/08/2018 3:31:58.746 PM","3.241758536314590","-0.004639745340683"
"251","03/08/2018 3:31:58.748 PM","3.212454505963250","-0.005128145858180"
"252","03/08/2018 3:31:58.750 PM","3.175824468024080","-0.006104946893174"
"253","03/08/2018 3:31:58.752 PM","3.249084543902430","-0.005616546375677"
"254","03/08/2018 3:31:58.754 PM","3.322344619780780","-0.003174543788191"
"255","03/08/2018 3:31:58.756 PM","3.290598586900160","-0.004639745340683"
"256","03/08/2018 3:31:58.758 PM","3.273504569195210","-0.004639745340683"
"257","03/08/2018 3:31:58.760 PM","3.231990526197480","-0.004151344823185"
"258","03/08/2018 3:31:58.762 PM","3.192918485729020","-0.004639745340683"
"259","03/08/2018 3:31:58.764 PM","3.214896508492530","-0.004639745340683"
"260","03/08/2018 3:31:58.766 PM","3.315018612192940","-0.005128145858180"
"261","03/08/2018 3:31:58.768 PM","3.302808599546550","-0.004151344823185"
"262","03/08/2018 3:31:58.770 PM","3.285714581841600","-0.004151344823185"
"263","03/08/2018 3:31:58.772 PM","3.258852554019540","-0.004639745340683"
"264","03/08/2018 3:31:58.774 PM","3.214896508492530","-0.004639745340683"
"265","03/08/2018 3:31:58.776 PM","3.166056457906960","-0.005128145858180"
"266","03/08/2018 3:31:58.778 PM","3.278388574253770","-0.004639745340683"
"267","03/08/2018 3:31:58.780 PM","3.307692604605110","-0.004151344823185"
"268","03/08/2018 3:31:58.782 PM","3.280830576783050","-0.004639745340683"
"269","03/08/2018 3:31:58.784 PM","3.249084543902430","-0.005616546375677"
"270","03/08/2018 3:31:58.786 PM","3.214896508492530","-0.004639745340683"
"271","03/08/2018 3:31:58.788 PM","3.170940462965520","-0.004151344823185"
"272","03/08/2018 3:31:58.790 PM","3.263736559078100","-0.003662944305688"
"273","03/08/2018 3:31:58.792 PM","3.310134607134390","-0.005616546375677"
"274","03/08/2018 3:31:58.794 PM","3.280830576783050","-0.004151344823185"
"275","03/08/2018 3:31:58.796 PM","3.246642541373150","-0.005616546375677"
"276","03/08/2018 3:31:58.798 PM","3.212454505963250","-0.004639745340683"
"277","03/08/2018 3:31:58.800 PM","3.168498460436240","-0.005128145858180"
